2024-12-17 19:46:04,835 - Norm2 (epsilon): 100.0
2024-12-17 19:46:07,988 - Step 0 norm(X - TN_G_Ours): 2864.269802235816, norm2(E): 10005.442024369026
2024-12-17 19:46:09,405 - Step 1 norm(X - TN_G_Ours): 2866.8405954988148, norm2(E): 10018.5724581799
2024-12-17 19:46:10,910 - Step 2 norm(X - TN_G_Ours): 2869.4411476801542, norm2(E): 10030.99168738263
2024-12-17 19:46:12,472 - Step 3 norm(X - TN_G_Ours): 2872.0651977279344, norm2(E): 10043.19534919248
2024-12-17 19:46:14,212 - Step 4 norm(X - TN_G_Ours): 2874.7040717263403, norm2(E): 10055.086641543545
2024-12-17 19:46:15,923 - Step 5 norm(X - TN_G_Ours): 2877.349648548122, norm2(E): 10066.593042161549
2024-12-17 19:46:17,623 - Step 6 norm(X - TN_G_Ours): 2879.990277761368, norm2(E): 10077.741451241309
2024-12-17 19:46:19,391 - Step 7 norm(X - TN_G_Ours): 2882.6133108691497, norm2(E): 10088.45923072804
2024-12-17 19:46:20,880 - Step 8 norm(X - TN_G_Ours): 2885.2043255201183, norm2(E): 10098.684348702955
2024-12-17 19:46:22,483 - Step 9 norm(X - TN_G_Ours): 2887.747824862829, norm2(E): 10108.379229047336
2024-12-17 19:46:24,143 - Step 10 norm(X - TN_G_Ours): 2890.2292296632804, norm2(E): 10117.49552193383
2024-12-17 19:46:25,846 - Step 11 norm(X - TN_G_Ours): 2892.634785105095, norm2(E): 10125.984839574026
2024-12-17 19:46:27,562 - Step 12 norm(X - TN_G_Ours): 2894.9528493569633, norm2(E): 10133.809522865573
2024-12-17 19:46:29,273 - Step 13 norm(X - TN_G_Ours): 2897.1748307618577, norm2(E): 10140.938065862516
2024-12-17 19:46:31,008 - Step 14 norm(X - TN_G_Ours): 2899.2930172716246, norm2(E): 10147.351286270714
2024-12-17 19:46:32,638 - Step 15 norm(X - TN_G_Ours): 2901.301949125599, norm2(E): 10153.034665886313
2024-12-17 19:46:34,122 - Step 16 norm(X - TN_G_Ours): 2903.198408652085, norm2(E): 10157.93530208763
2024-12-17 19:46:35,656 - Step 17 norm(X - TN_G_Ours): 2904.9814113002512, norm2(E): 10162.037245298037
2024-12-17 19:46:37,429 - Step 18 norm(X - TN_G_Ours): 2906.6547782631496, norm2(E): 10165.335395844886
2024-12-17 19:46:39,146 - Step 19 norm(X - TN_G_Ours): 2908.227123180031, norm2(E): 10167.875521066657
2024-12-17 19:46:40,943 - Step 20 norm(X - TN_G_Ours): 2909.711841402856, norm2(E): 10169.714271203615
2024-12-17 19:46:42,708 - Step 21 norm(X - TN_G_Ours): 2911.1269295583797, norm2(E): 10170.979181612143
2024-12-17 19:46:44,461 - Step 22 norm(X - TN_G_Ours): 2912.489313285115, norm2(E): 10171.796337089094
2024-12-17 19:46:45,991 - Step 23 norm(X - TN_G_Ours): 2913.816569381127, norm2(E): 10172.338047700527
2024-12-17 19:46:47,525 - Step 24 norm(X - TN_G_Ours): 2915.122810448987, norm2(E): 10172.744340125064
2024-12-17 19:46:48,949 - Step 25 norm(X - TN_G_Ours): 2916.4193799932136, norm2(E): 10173.159874860721
2024-12-17 19:46:50,664 - Step 26 norm(X - TN_G_Ours): 2917.7141738011283, norm2(E): 10173.68315289641
2024-12-17 19:46:52,284 - Step 27 norm(X - TN_G_Ours): 2919.010962637859, norm2(E): 10174.397295224539
2024-12-17 19:46:53,953 - Step 28 norm(X - TN_G_Ours): 2920.312825708917, norm2(E): 10175.351576248708
2024-12-17 19:46:55,680 - Step 29 norm(X - TN_G_Ours): 2921.619585093172, norm2(E): 10176.575276267016
2024-12-17 19:46:57,420 - Step 30 norm(X - TN_G_Ours): 2922.9307210401003, norm2(E): 10178.080759108067
2024-12-17 19:46:58,896 - Step 31 norm(X - TN_G_Ours): 2924.2429789605376, norm2(E): 10179.86346865655
2024-12-17 19:47:00,332 - Step 32 norm(X - TN_G_Ours): 2925.5517428341614, norm2(E): 10181.894223506155
2024-12-17 19:47:01,926 - Step 33 norm(X - TN_G_Ours): 2926.8513798961503, norm2(E): 10184.137680933112
2024-12-17 19:47:03,631 - Step 34 norm(X - TN_G_Ours): 2928.1342182352228, norm2(E): 10186.51998893643
2024-12-17 19:47:05,245 - Step 35 norm(X - TN_G_Ours): 2929.393111209214, norm2(E): 10188.964184583165
2024-12-17 19:47:06,867 - Step 36 norm(X - TN_G_Ours): 2930.6234831516654, norm2(E): 10191.3809460146
2024-12-17 19:47:08,614 - Step 37 norm(X - TN_G_Ours): 2931.822470750915, norm2(E): 10193.70247745514
2024-12-17 19:47:10,345 - Step 38 norm(X - TN_G_Ours): 2932.992840086726, norm2(E): 10195.914879486896
2024-12-17 19:47:11,964 - Step 39 norm(X - TN_G_Ours): 2934.1409304939666, norm2(E): 10198.072048508562
2024-12-17 19:47:13,409 - Step 40 norm(X - TN_G_Ours): 2935.2729004302137, norm2(E): 10200.318828510353
2024-12-17 19:47:14,958 - Step 41 norm(X - TN_G_Ours): 2936.3945579570877, norm2(E): 10202.84020139114
2024-12-17 19:47:16,673 - Step 42 norm(X - TN_G_Ours): 2937.506425524887, norm2(E): 10205.818165233592
2024-12-17 19:47:18,373 - Step 43 norm(X - TN_G_Ours): 2938.60392023151, norm2(E): 10209.388595178956
2024-12-17 19:47:19,887 - Step 44 norm(X - TN_G_Ours): 2939.680935067614, norm2(E): 10213.602690713538
2024-12-17 19:47:21,606 - Step 45 norm(X - TN_G_Ours): 2940.7288212278263, norm2(E): 10218.40686396719
2024-12-17 19:47:23,058 - Step 46 norm(X - TN_G_Ours): 2941.7442104982547, norm2(E): 10223.66730221454
2024-12-17 19:47:24,314 - Step 47 norm(X - TN_G_Ours): 2942.7269666076736, norm2(E): 10229.202250512375
2024-12-17 19:47:25,619 - Step 48 norm(X - TN_G_Ours): 2943.6830671796174, norm2(E): 10234.814337339776
2024-12-17 19:47:27,157 - Step 49 norm(X - TN_G_Ours): 2944.6186510310636, norm2(E): 10240.338404868322
2024-12-17 19:47:28,686 - Step 50 norm(X - TN_G_Ours): 2945.540018400701, norm2(E): 10245.64464167232
