2024-12-26 15:47:33,858 - Proposed-ATNMF Experiment
2024-12-26 15:47:33,859 - Optimization parameters:
2024-12-26 15:47:33,859 - epsilon (Frobenius norm constraint): 0.010000000000000002
2024-12-26 15:47:33,859 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-26 15:47:33,859 - lr (Learning rate): 0.1
2024-12-26 15:47:33,859 - outer_num_steps (Number of outer optimization steps): 100
2024-12-26 15:47:33,859 - inner_num_steps (Number of inner optimization steps): 100
2024-12-26 15:47:33,859 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-26 15:47:33,859 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-26 15:47:36,240 - Step 0 norm(X - TN_G_Ours): 48.83885632074885, norm2(E): 0.10000000149011612
2024-12-26 15:47:36,407 - Step 1 norm(X - TN_G_Ours): 48.90145244040559, norm2(E): 0.10000001639127731
2024-12-26 15:47:36,587 - Step 2 norm(X - TN_G_Ours): 48.90210645386352, norm2(E): 0.10000000894069672
2024-12-26 15:47:36,766 - Step 3 norm(X - TN_G_Ours): 48.9021588744109, norm2(E): 0.10000000149011612
2024-12-26 15:47:36,938 - Step 4 norm(X - TN_G_Ours): 48.9021214311685, norm2(E): 0.10000000149011612
2024-12-26 15:47:37,108 - Step 5 norm(X - TN_G_Ours): 48.90212642360248, norm2(E): 0.10000000149011612
2024-12-26 15:47:37,288 - Step 6 norm(X - TN_G_Ours): 48.90207899545913, norm2(E): 0.10000000894069672
2024-12-26 15:47:37,458 - Step 7 norm(X - TN_G_Ours): 48.90204155215557, norm2(E): 0.10000000149011612
2024-12-26 15:47:37,636 - Step 8 norm(X - TN_G_Ours): 48.90203156726978, norm2(E): 0.10000000894069672
2024-12-26 15:47:37,808 - Step 9 norm(X - TN_G_Ours): 48.90202907104801, norm2(E): 0.10000000149011612
2024-12-26 15:47:37,982 - Step 10 norm(X - TN_G_Ours): 48.90207150680071, norm2(E): 0.10000000149011612
2024-12-26 15:47:38,162 - Step 11 norm(X - TN_G_Ours): 48.90195668056136, norm2(E): 0.10000000894069672
2024-12-26 15:47:38,334 - Step 12 norm(X - TN_G_Ours): 48.901904259797234, norm2(E): 0.09999998658895493
2024-12-26 15:47:38,505 - Step 13 norm(X - TN_G_Ours): 48.90193920697956, norm2(E): 0.10000000149011612
2024-12-26 15:47:38,676 - Step 14 norm(X - TN_G_Ours): 48.90196416923737, norm2(E): 0.10000000149011612
2024-12-26 15:47:38,849 - Step 15 norm(X - TN_G_Ours): 48.90196167301216, norm2(E): 0.10000000149011612
2024-12-26 15:47:39,020 - Step 16 norm(X - TN_G_Ours): 48.90192672584588, norm2(E): 0.10000000894069672
2024-12-26 15:47:39,198 - Step 17 norm(X - TN_G_Ours): 48.90195418433577, norm2(E): 0.10000000149011612
2024-12-26 15:47:39,368 - Step 18 norm(X - TN_G_Ours): 48.90200660504638, norm2(E): 0.10000001639127731
2024-12-26 15:47:39,547 - Step 19 norm(X - TN_G_Ours): 48.901944199432144, norm2(E): 0.10000000149011612
2024-12-26 15:47:39,718 - Step 20 norm(X - TN_G_Ours): 48.901941703205914, norm2(E): 0.10000000149011612
2024-12-26 15:47:39,894 - Step 21 norm(X - TN_G_Ours): 48.90195418433577, norm2(E): 0.10000000894069672
2024-12-26 15:47:40,067 - Step 22 norm(X - TN_G_Ours): 48.90191674093665, norm2(E): 0.10000000149011612
2024-12-26 15:47:40,241 - Step 23 norm(X - TN_G_Ours): 48.901924229618764, norm2(E): 0.10000000149011612
2024-12-26 15:47:40,412 - Step 24 norm(X - TN_G_Ours): 48.902011597492084, norm2(E): 0.09999999403953552
2024-12-26 15:47:40,592 - Step 25 norm(X - TN_G_Ours): 48.901801914333895, norm2(E): 0.10000000894069672
2024-12-26 15:47:40,762 - Step 26 norm(X - TN_G_Ours): 48.901856831438415, norm2(E): 0.10000000149011612
2024-12-26 15:47:40,932 - Step 27 norm(X - TN_G_Ours): 48.90188428996755, norm2(E): 0.10000000149011612
2024-12-26 15:47:41,103 - Step 28 norm(X - TN_G_Ours): 48.901931718299736, norm2(E): 0.10000000149011612
2024-12-26 15:47:41,280 - Step 29 norm(X - TN_G_Ours): 48.90189177865464, norm2(E): 0.10000000149011612
2024-12-26 15:47:41,459 - Step 30 norm(X - TN_G_Ours): 48.90190925225338, norm2(E): 0.09999999403953552
2024-12-26 15:47:41,634 - Step 31 norm(X - TN_G_Ours): 48.901889282425735, norm2(E): 0.10000000894069672
2024-12-26 15:47:41,805 - Step 32 norm(X - TN_G_Ours): 48.901944199432144, norm2(E): 0.10000000149011612
2024-12-26 15:47:41,975 - Step 33 norm(X - TN_G_Ours): 48.90188428996755, norm2(E): 0.10000001639127731
2024-12-26 15:47:42,156 - Step 34 norm(X - TN_G_Ours): 48.901871808819855, norm2(E): 0.10000000149011612
2024-12-26 15:47:42,333 - Step 35 norm(X - TN_G_Ours): 48.90191424470902, norm2(E): 0.10000000894069672
2024-12-26 15:47:42,505 - Step 36 norm(X - TN_G_Ours): 48.901874305049645, norm2(E): 0.10000000894069672
2024-12-26 15:47:42,676 - Step 37 norm(X - TN_G_Ours): 48.90184435028371, norm2(E): 0.10000000149011612
2024-12-26 15:47:42,850 - Step 38 norm(X - TN_G_Ours): 48.901871808819855, norm2(E): 0.10000000149011612
2024-12-26 15:47:43,021 - Step 39 norm(X - TN_G_Ours): 48.901886786196705, norm2(E): 0.10000000149011612
2024-12-26 15:47:43,195 - Step 40 norm(X - TN_G_Ours): 48.90183436535766, norm2(E): 0.10000000894069672
2024-12-26 15:47:43,374 - Step 41 norm(X - TN_G_Ours): 48.901886786196705, norm2(E): 0.10000000149011612
2024-12-26 15:47:43,550 - Step 42 norm(X - TN_G_Ours): 48.90184435028371, norm2(E): 0.10000000149011612
2024-12-26 15:47:43,721 - Step 43 norm(X - TN_G_Ours): 48.90183436535766, norm2(E): 0.10000000149011612
2024-12-26 15:47:43,896 - Step 44 norm(X - TN_G_Ours): 48.90183436535766, norm2(E): 0.10000000149011612
2024-12-26 15:47:44,072 - Step 45 norm(X - TN_G_Ours): 48.90191923716415, norm2(E): 0.10000000894069672
2024-12-26 15:47:44,244 - Step 46 norm(X - TN_G_Ours): 48.90184435028371, norm2(E): 0.10000000149011612
2024-12-26 15:47:44,416 - Step 47 norm(X - TN_G_Ours): 48.901781944462414, norm2(E): 0.10000000894069672
2024-12-26 15:47:44,595 - Step 48 norm(X - TN_G_Ours): 48.90183935782094, norm2(E): 0.10000000149011612
2024-12-26 15:47:44,764 - Step 49 norm(X - TN_G_Ours): 48.90184185405239, norm2(E): 0.10000000149011612
2024-12-26 15:47:44,936 - Step 50 norm(X - TN_G_Ours): 48.90184435028371, norm2(E): 0.10000000149011612
2024-12-26 15:47:45,107 - Step 51 norm(X - TN_G_Ours): 48.9018618238994, norm2(E): 0.10000000149011612
2024-12-26 15:47:45,279 - Step 52 norm(X - TN_G_Ours): 48.901781944462414, norm2(E): 0.09999998658895493
2024-12-26 15:47:45,452 - Step 53 norm(X - TN_G_Ours): 48.90182438042956, norm2(E): 0.10000000894069672
2024-12-26 15:47:45,625 - Step 54 norm(X - TN_G_Ours): 48.9017469971677, norm2(E): 0.10000000894069672
2024-12-26 15:47:45,796 - Step 55 norm(X - TN_G_Ours): 48.90172952351097, norm2(E): 0.10000000149011612
2024-12-26 15:47:45,967 - Step 56 norm(X - TN_G_Ours): 48.90172453103648, norm2(E): 0.10000000149011612
2024-12-26 15:47:46,147 - Step 57 norm(X - TN_G_Ours): 48.901784440696794, norm2(E): 0.10000000149011612
2024-12-26 15:47:46,317 - Step 58 norm(X - TN_G_Ours): 48.90172203479904, norm2(E): 0.10000000149011612
2024-12-26 15:47:46,488 - Step 59 norm(X - TN_G_Ours): 48.90168209498268, norm2(E): 0.10000000149011612
2024-12-26 15:47:46,661 - Step 60 norm(X - TN_G_Ours): 48.90167959874308, norm2(E): 0.10000000149011612
2024-12-26 15:47:46,832 - Step 61 norm(X - TN_G_Ours): 48.9016945761788, norm2(E): 0.10000000149011612
2024-12-26 15:47:47,004 - Step 62 norm(X - TN_G_Ours): 48.90159472652068, norm2(E): 0.10000000149011612
2024-12-26 15:47:47,160 - Step 63 norm(X - TN_G_Ours): 48.90161968895432, norm2(E): 0.09999999403953552
2024-12-26 15:47:47,312 - Step 64 norm(X - TN_G_Ours): 48.90159971900842, norm2(E): 0.10000000894069672
2024-12-26 15:47:47,449 - Step 65 norm(X - TN_G_Ours): 48.90163466640839, norm2(E): 0.09999999403953552
2024-12-26 15:47:47,595 - Step 66 norm(X - TN_G_Ours): 48.90152483163869, norm2(E): 0.10000000149011612
2024-12-26 15:47:47,735 - Step 67 norm(X - TN_G_Ours): 48.901512350399244, norm2(E): 0.10000000894069672
2024-12-26 15:47:47,874 - Step 68 norm(X - TN_G_Ours): 48.90149737290771, norm2(E): 0.10000000149011612
2024-12-26 15:47:48,019 - Step 69 norm(X - TN_G_Ours): 48.90145244040559, norm2(E): 0.10000000149011612
2024-12-26 15:47:48,166 - Step 70 norm(X - TN_G_Ours): 48.90147241041163, norm2(E): 0.10000000149011612
2024-12-26 15:47:48,305 - Step 71 norm(X - TN_G_Ours): 48.90146741791089, norm2(E): 0.09999999403953552
2024-12-26 15:47:48,445 - Step 72 norm(X - TN_G_Ours): 48.90143746289571, norm2(E): 0.10000000149011612
2024-12-26 15:47:48,586 - Step 73 norm(X - TN_G_Ours): 48.90141000411568, norm2(E): 0.10000000894069672
2024-12-26 15:47:48,726 - Step 74 norm(X - TN_G_Ours): 48.90142747788657, norm2(E): 0.10000000149011612
2024-12-26 15:47:48,863 - Step 75 norm(X - TN_G_Ours): 48.90138254532023, norm2(E): 0.10000000149011612
2024-12-26 15:47:49,009 - Step 76 norm(X - TN_G_Ours): 48.9013376127126, norm2(E): 0.10000001639127731
2024-12-26 15:47:49,150 - Step 77 norm(X - TN_G_Ours): 48.9013376127126, norm2(E): 0.10000000149011612
2024-12-26 15:47:49,295 - Step 78 norm(X - TN_G_Ours): 48.9013376127126, norm2(E): 0.10000000894069672
