2024-12-17 20:05:12,057 - Optimization parameters:
2024-12-17 20:05:12,057 - epsilon (Frobenius norm constraint): 100.0
2024-12-17 20:05:12,057 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-17 20:05:12,057 - lr (Learning rate): 0.01
2024-12-17 20:05:12,057 - outer_num_steps (Number of outer optimization steps): 100
2024-12-17 20:05:12,057 - inner_num_steps (Number of inner optimization steps): 200
2024-12-17 20:05:12,057 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-17 20:05:12,057 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-17 20:05:14,740 - Step 0 norm(X - TN_G_Ours): 3289.544953333211, norm2(E): 9999.998474121152
2024-12-17 20:05:15,454 - Step 1 norm(X - TN_G_Ours): 3291.739509742531, norm2(E): 10000.0
2024-12-17 20:05:16,135 - Step 2 norm(X - TN_G_Ours): 3293.934273782645, norm2(E): 10000.0
2024-12-17 20:05:16,840 - Step 3 norm(X - TN_G_Ours): 3296.1272730281516, norm2(E): 10000.0
2024-12-17 20:05:17,527 - Step 4 norm(X - TN_G_Ours): 3298.3142664094335, norm2(E): 10000.0
2024-12-17 20:05:18,199 - Step 5 norm(X - TN_G_Ours): 3300.4929934783986, norm2(E): 9999.998474121152
2024-12-17 20:05:18,903 - Step 6 norm(X - TN_G_Ours): 3302.660139947797, norm2(E): 10000.001525878964
2024-12-17 20:05:19,605 - Step 7 norm(X - TN_G_Ours): 3304.8137617723633, norm2(E): 10000.001525878964
2024-12-17 20:05:20,297 - Step 8 norm(X - TN_G_Ours): 3306.9502566564256, norm2(E): 10000.0
2024-12-17 20:05:21,024 - Step 9 norm(X - TN_G_Ours): 3309.0676934750068, norm2(E): 10000.0
2024-12-17 20:05:21,720 - Step 10 norm(X - TN_G_Ours): 3311.1626356915785, norm2(E): 10000.0
2024-12-17 20:05:22,436 - Step 11 norm(X - TN_G_Ours): 3313.2321077763327, norm2(E): 9999.998474121152
2024-12-17 20:05:22,968 - Step 12 norm(X - TN_G_Ours): 3315.2746492560764, norm2(E): 10000.0
2024-12-17 20:05:23,558 - Step 13 norm(X - TN_G_Ours): 3317.2866924641894, norm2(E): 9999.998474121152
2024-12-17 20:05:24,110 - Step 14 norm(X - TN_G_Ours): 3319.2658826915326, norm2(E): 9999.998474121152
2024-12-17 20:05:24,726 - Step 15 norm(X - TN_G_Ours): 3321.2094182691944, norm2(E): 10000.0
2024-12-17 20:05:25,258 - Step 16 norm(X - TN_G_Ours): 3323.1157066825103, norm2(E): 10000.0
2024-12-17 20:05:25,842 - Step 17 norm(X - TN_G_Ours): 3324.981654084726, norm2(E): 10000.0
2024-12-17 20:05:26,543 - Step 18 norm(X - TN_G_Ours): 3326.8059757070296, norm2(E): 10000.0
2024-12-17 20:05:27,247 - Step 19 norm(X - TN_G_Ours): 3328.586486783842, norm2(E): 10000.0
2024-12-17 20:05:27,924 - Step 20 norm(X - TN_G_Ours): 3330.3220564984404, norm2(E): 10000.0
2024-12-17 20:05:28,562 - Step 21 norm(X - TN_G_Ours): 3332.0121548397747, norm2(E): 10000.0
2024-12-17 20:05:29,246 - Step 22 norm(X - TN_G_Ours): 3333.6574509088364, norm2(E): 10000.0
2024-12-17 20:05:29,922 - Step 23 norm(X - TN_G_Ours): 3335.256811701312, norm2(E): 10000.001525878964
2024-12-17 20:05:30,628 - Step 24 norm(X - TN_G_Ours): 3336.8122512362006, norm2(E): 9999.998474121152
2024-12-17 20:05:31,340 - Step 25 norm(X - TN_G_Ours): 3338.3248793369407, norm2(E): 10000.0
2024-12-17 20:05:32,036 - Step 26 norm(X - TN_G_Ours): 3339.795951850951, norm2(E): 10000.0
2024-12-17 20:05:32,723 - Step 27 norm(X - TN_G_Ours): 3341.2274690598365, norm2(E): 10000.0
2024-12-17 20:05:33,407 - Step 28 norm(X - TN_G_Ours): 3342.621276782639, norm2(E): 10000.0
2024-12-17 20:05:34,112 - Step 29 norm(X - TN_G_Ours): 3343.9792164425903, norm2(E): 10000.0
2024-12-17 20:05:34,850 - Step 30 norm(X - TN_G_Ours): 3345.3032747420675, norm2(E): 9999.998474121152
2024-12-17 20:05:35,558 - Step 31 norm(X - TN_G_Ours): 3346.5939401128426, norm2(E): 10000.0
2024-12-17 20:05:36,277 - Step 32 norm(X - TN_G_Ours): 3347.853790116886, norm2(E): 10000.0
2024-12-17 20:05:36,816 - Step 33 norm(X - TN_G_Ours): 3349.0825609411304, norm2(E): 10000.001525878964
2024-12-17 20:05:37,407 - Step 34 norm(X - TN_G_Ours): 3350.281928435277, norm2(E): 10000.0
2024-12-17 20:05:37,995 - Step 35 norm(X - TN_G_Ours): 3351.4522225447286, norm2(E): 10000.0
2024-12-17 20:05:38,582 - Step 36 norm(X - TN_G_Ours): 3352.5934737155353, norm2(E): 10000.001525878964
2024-12-17 20:05:39,260 - Step 37 norm(X - TN_G_Ours): 3353.7066061299997, norm2(E): 10000.0
2024-12-17 20:05:39,953 - Step 38 norm(X - TN_G_Ours): 3354.7917968183956, norm2(E): 10000.0
2024-12-17 20:05:40,648 - Step 39 norm(X - TN_G_Ours): 3355.8483279194843, norm2(E): 10000.0
2024-12-17 20:05:41,338 - Step 40 norm(X - TN_G_Ours): 3356.8778649215105, norm2(E): 10000.0
2024-12-17 20:05:42,023 - Step 41 norm(X - TN_G_Ours): 3357.879688136548, norm2(E): 10000.0
2024-12-17 20:05:42,707 - Step 42 norm(X - TN_G_Ours): 3358.854268943504, norm2(E): 10000.0
2024-12-17 20:05:43,403 - Step 43 norm(X - TN_G_Ours): 3359.801928685678, norm2(E): 9999.998474121152
2024-12-17 20:05:44,090 - Step 44 norm(X - TN_G_Ours): 3360.7231364692925, norm2(E): 10000.0
2024-12-17 20:05:44,764 - Step 45 norm(X - TN_G_Ours): 3361.617914040797, norm2(E): 10000.0
2024-12-17 20:05:45,409 - Step 46 norm(X - TN_G_Ours): 3362.4868772978134, norm2(E): 10000.0
2024-12-17 20:05:46,063 - Step 47 norm(X - TN_G_Ours): 3363.330046248807, norm2(E): 10000.001525878964
2024-12-17 20:05:46,556 - Step 48 norm(X - TN_G_Ours): 3364.1484806708518, norm2(E): 10000.0
2024-12-17 20:05:47,118 - Step 49 norm(X - TN_G_Ours): 3364.941455657141, norm2(E): 10000.0
2024-12-17 20:05:47,584 - Step 50 norm(X - TN_G_Ours): 3365.710029102329, norm2(E): 9999.998474121152
2024-12-17 20:05:48,119 - Step 51 norm(X - TN_G_Ours): 3366.4540691950633, norm2(E): 10000.0
2024-12-17 20:05:48,582 - Step 52 norm(X - TN_G_Ours): 3367.1746316459444, norm2(E): 10000.0
2024-12-17 20:05:49,127 - Step 53 norm(X - TN_G_Ours): 3367.871137677331, norm2(E): 10000.0
2024-12-17 20:05:49,748 - Step 54 norm(X - TN_G_Ours): 3368.5441959398427, norm2(E): 10000.0
2024-12-17 20:05:50,353 - Step 55 norm(X - TN_G_Ours): 3369.1945625030326, norm2(E): 10000.0
2024-12-17 20:05:50,987 - Step 56 norm(X - TN_G_Ours): 3369.82195375364, norm2(E): 10000.001525878964
2024-12-17 20:05:51,633 - Step 57 norm(X - TN_G_Ours): 3370.42727261693, norm2(E): 10000.001525878964
2024-12-17 20:05:52,263 - Step 58 norm(X - TN_G_Ours): 3371.010679306727, norm2(E): 10000.0
2024-12-17 20:05:52,905 - Step 59 norm(X - TN_G_Ours): 3371.5729266916355, norm2(E): 10000.0
2024-12-17 20:05:53,450 - Step 60 norm(X - TN_G_Ours): 3372.114321905472, norm2(E): 9999.998474121152
2024-12-17 20:05:54,081 - Step 61 norm(X - TN_G_Ours): 3372.6345784860832, norm2(E): 9999.998474121152
2024-12-17 20:05:54,721 - Step 62 norm(X - TN_G_Ours): 3373.135188515278, norm2(E): 9999.998474121152
2024-12-17 20:05:55,342 - Step 63 norm(X - TN_G_Ours): 3373.616753574715, norm2(E): 10000.0
2024-12-17 20:05:55,916 - Step 64 norm(X - TN_G_Ours): 3374.0791336303896, norm2(E): 10000.0
2024-12-17 20:05:56,552 - Step 65 norm(X - TN_G_Ours): 3374.522632906764, norm2(E): 10000.0
2024-12-17 20:05:57,139 - Step 66 norm(X - TN_G_Ours): 3374.9484440506644, norm2(E): 10000.0
2024-12-17 20:05:57,605 - Step 67 norm(X - TN_G_Ours): 3375.356870021302, norm2(E): 10000.0
2024-12-17 20:05:58,082 - Step 68 norm(X - TN_G_Ours): 3375.747769013556, norm2(E): 10000.0
2024-12-17 20:05:58,649 - Step 69 norm(X - TN_G_Ours): 3376.1226281046133, norm2(E): 10000.001525878964
2024-12-17 20:05:59,145 - Step 70 norm(X - TN_G_Ours): 3376.481156470446, norm2(E): 10000.0
2024-12-17 20:05:59,656 - Step 71 norm(X - TN_G_Ours): 3376.823951585276, norm2(E): 10000.0
2024-12-17 20:06:00,198 - Step 72 norm(X - TN_G_Ours): 3377.152054616434, norm2(E): 10000.001525878964
2024-12-17 20:06:00,808 - Step 73 norm(X - TN_G_Ours): 3377.465025725655, norm2(E): 10000.001525878964
2024-12-17 20:06:01,428 - Step 74 norm(X - TN_G_Ours): 3377.7642013616046, norm2(E): 10000.0
2024-12-17 20:06:02,132 - Step 75 norm(X - TN_G_Ours): 3378.0491411464104, norm2(E): 10000.001525878964
2024-12-17 20:06:02,822 - Step 76 norm(X - TN_G_Ours): 3378.32073669745, norm2(E): 10000.0
2024-12-17 20:06:03,519 - Step 77 norm(X - TN_G_Ours): 3378.5800271711782, norm2(E): 10000.0
2024-12-17 20:06:04,202 - Step 78 norm(X - TN_G_Ours): 3378.8267194397527, norm2(E): 10000.0
2024-12-17 20:06:04,898 - Step 79 norm(X - TN_G_Ours): 3379.06155611288, norm2(E): 10000.0
2024-12-17 20:06:05,598 - Step 80 norm(X - TN_G_Ours): 3379.2842437415648, norm2(E): 10000.001525878964
2024-12-17 20:06:06,276 - Step 81 norm(X - TN_G_Ours): 3379.4962642382075, norm2(E): 10000.0
2024-12-17 20:06:06,994 - Step 82 norm(X - TN_G_Ours): 3379.6973237258985, norm2(E): 10000.0
2024-12-17 20:06:07,587 - Step 83 norm(X - TN_G_Ours): 3379.888163830277, norm2(E): 10000.0
2024-12-17 20:06:08,282 - Step 84 norm(X - TN_G_Ours): 3380.0687862823147, norm2(E): 10000.0
