2024-12-17 19:45:26,172 - Norm2 (epsilon): 100.0
2024-12-17 19:45:28,178 - Step 0 norm(X - TN_G_Ours): 10455.038976493584, norm2(E): 10008.761989271792
2024-12-17 19:45:28,224 - Step 1 norm(X - TN_G_Ours): 10455.44336697397, norm2(E): 10021.816695813322
2024-12-17 19:45:28,275 - Step 2 norm(X - TN_G_Ours): 10455.847741814147, norm2(E): 10034.856982562691
2024-12-17 19:45:28,325 - Step 3 norm(X - TN_G_Ours): 10456.250953377123, norm2(E): 10047.862920962507
2024-12-17 19:45:28,376 - Step 4 norm(X - TN_G_Ours): 10456.652236734279, norm2(E): 10060.80993963778
2024-12-17 19:45:28,422 - Step 5 norm(X - TN_G_Ours): 10457.052739658531, norm2(E): 10073.676467687823
2024-12-17 19:45:28,470 - Step 6 norm(X - TN_G_Ours): 10457.449402220409, norm2(E): 10086.44394535222
2024-12-17 19:45:28,507 - Step 7 norm(X - TN_G_Ours): 10457.842607344977, norm2(E): 10099.102968358435
2024-12-17 19:45:28,545 - Step 8 norm(X - TN_G_Ours): 10458.233502843585, norm2(E): 10111.63643941289
2024-12-17 19:45:28,577 - Step 9 norm(X - TN_G_Ours): 10458.619029298276, norm2(E): 10124.027221802622
2024-12-17 19:45:28,623 - Step 10 norm(X - TN_G_Ours): 10459.001864422818, norm2(E): 10136.261213058839
2024-12-17 19:45:28,661 - Step 11 norm(X - TN_G_Ours): 10459.378949058113, norm2(E): 10148.33042972628
2024-12-17 19:45:28,707 - Step 12 norm(X - TN_G_Ours): 10459.749901407777, norm2(E): 10160.213031829335
2024-12-17 19:45:28,748 - Step 13 norm(X - TN_G_Ours): 10460.11625174405, norm2(E): 10171.902523543919
2024-12-17 19:45:28,794 - Step 14 norm(X - TN_G_Ours): 10460.476470983527, norm2(E): 10183.390860869607
2024-12-17 19:45:28,825 - Step 15 norm(X - TN_G_Ours): 10460.830177380762, norm2(E): 10194.666907321895
2024-12-17 19:45:28,864 - Step 16 norm(X - TN_G_Ours): 10461.177753962505, norm2(E): 10205.721050863212
