2024-12-17 20:14:41,720 - Optimization parameters:
2024-12-17 20:14:41,720 - epsilon (Frobenius norm constraint): 100000.0
2024-12-17 20:14:41,720 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-17 20:14:41,720 - lr (Learning rate): 0.01
2024-12-17 20:14:41,720 - outer_num_steps (Number of outer optimization steps): 100
2024-12-17 20:14:41,720 - inner_num_steps (Number of inner optimization steps): 100
2024-12-17 20:14:41,720 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-17 20:14:41,720 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-17 20:14:44,306 - Step 0 norm(X - TN_G_Ours): 4021.2622396456563, norm2(E): 65478.61413032771
2024-12-17 20:14:44,672 - Step 1 norm(X - TN_G_Ours): 4023.3313311235006, norm2(E): 65521.110220835544
2024-12-17 20:14:45,019 - Step 2 norm(X - TN_G_Ours): 4025.401843294654, norm2(E): 65576.0373630561
2024-12-17 20:14:45,376 - Step 3 norm(X - TN_G_Ours): 4027.473649820691, norm2(E): 65643.46589454357
2024-12-17 20:14:45,727 - Step 4 norm(X - TN_G_Ours): 4029.5468727885523, norm2(E): 65723.54022637382
2024-12-17 20:14:46,094 - Step 5 norm(X - TN_G_Ours): 4031.6213859934815, norm2(E): 65816.29907226562
2024-12-17 20:14:46,476 - Step 6 norm(X - TN_G_Ours): 4033.696815577492, norm2(E): 65921.67512981687
2024-12-17 20:14:46,831 - Step 7 norm(X - TN_G_Ours): 4035.7729123428144, norm2(E): 66039.62008402124
2024-12-17 20:14:47,189 - Step 8 norm(X - TN_G_Ours): 4037.8500467451736, norm2(E): 66170.12029591575
2024-12-17 20:14:47,537 - Step 9 norm(X - TN_G_Ours): 4039.927722125731, norm2(E): 66313.1340287663
2024-12-17 20:14:47,894 - Step 10 norm(X - TN_G_Ours): 4042.0060613512196, norm2(E): 66468.68563436065
2024-12-17 20:14:48,263 - Step 11 norm(X - TN_G_Ours): 4044.084939760786, norm2(E): 66636.7240763465
2024-12-17 20:14:48,625 - Step 12 norm(X - TN_G_Ours): 4046.1646036709876, norm2(E): 66817.2170442352
2024-12-17 20:14:48,989 - Step 13 norm(X - TN_G_Ours): 4048.2446813402967, norm2(E): 67010.13518048823
2024-12-17 20:14:49,347 - Step 14 norm(X - TN_G_Ours): 4050.325419024995, norm2(E): 67215.40453666821
2024-12-17 20:14:49,702 - Step 15 norm(X - TN_G_Ours): 4052.4066923249447, norm2(E): 67433.00121510401
2024-12-17 20:14:50,056 - Step 16 norm(X - TN_G_Ours): 4054.488500415311, norm2(E): 67662.84052498732
2024-12-17 20:14:50,358 - Step 17 norm(X - TN_G_Ours): 4056.5708424727404, norm2(E): 67904.90358358622
2024-12-17 20:14:50,728 - Step 18 norm(X - TN_G_Ours): 4058.6540872560204, norm2(E): 68159.1103091836
2024-12-17 20:14:51,064 - Step 19 norm(X - TN_G_Ours): 4060.7374945938086, norm2(E): 68425.43049004767
2024-12-17 20:14:51,439 - Step 20 norm(X - TN_G_Ours): 4062.8225410421264, norm2(E): 68703.8201558739
2024-12-17 20:14:51,799 - Step 21 norm(X - TN_G_Ours): 4064.908240046754, norm2(E): 68994.23735970631
2024-12-17 20:14:52,112 - Step 22 norm(X - TN_G_Ours): 4066.9943447219102, norm2(E): 69296.62601720635
2024-12-17 20:14:52,478 - Step 23 norm(X - TN_G_Ours): 4069.08208322221, norm2(E): 69610.9961491311
2024-12-17 20:14:52,760 - Step 24 norm(X - TN_G_Ours): 4071.170838960212, norm2(E): 69937.26311898232
2024-12-17 20:14:53,132 - Step 25 norm(X - TN_G_Ours): 4073.260978626339, norm2(E): 70275.42439267877
2024-12-17 20:14:53,503 - Step 26 norm(X - TN_G_Ours): 4075.3522547136954, norm2(E): 70625.430653397
2024-12-17 20:14:53,855 - Step 27 norm(X - TN_G_Ours): 4077.4452786027673, norm2(E): 70987.29894825164
2024-12-17 20:14:54,161 - Step 28 norm(X - TN_G_Ours): 4079.5402927290716, norm2(E): 71360.96670091245
2024-12-17 20:14:54,424 - Step 29 norm(X - TN_G_Ours): 4081.636681528624, norm2(E): 71746.42135053873
2024-12-17 20:14:54,752 - Step 30 norm(X - TN_G_Ours): 4083.7352999429336, norm2(E): 72143.63534343336
2024-12-17 20:14:55,010 - Step 31 norm(X - TN_G_Ours): 4085.8361445363907, norm2(E): 72552.6315882206
2024-12-17 20:14:55,334 - Step 32 norm(X - TN_G_Ours): 4087.9392118768105, norm2(E): 72973.35218274966
2024-12-17 20:14:55,599 - Step 33 norm(X - TN_G_Ours): 4090.044620783495, norm2(E): 73405.83904832974
2024-12-17 20:14:55,930 - Step 34 norm(X - TN_G_Ours): 4092.152856382567, norm2(E): 73850.06945638452
2024-12-17 20:14:56,228 - Step 35 norm(X - TN_G_Ours): 4094.2634258191056, norm2(E): 74306.00488320086
2024-12-17 20:14:56,552 - Step 36 norm(X - TN_G_Ours): 4096.376935781179, norm2(E): 74773.67411637306
2024-12-17 20:14:56,826 - Step 37 norm(X - TN_G_Ours): 4098.493625711769, norm2(E): 75253.09051407967
2024-12-17 20:14:57,143 - Step 38 norm(X - TN_G_Ours): 4100.613368753508, norm2(E): 75744.23488844279
2024-12-17 20:14:57,513 - Step 39 norm(X - TN_G_Ours): 4102.7364039138565, norm2(E): 76247.08859898988
2024-12-17 20:14:57,885 - Step 40 norm(X - TN_G_Ours): 4104.862238857719, norm2(E): 76761.70111531392
2024-12-17 20:14:58,263 - Step 41 norm(X - TN_G_Ours): 4106.992573648022, norm2(E): 77288.05535104964
2024-12-17 20:14:58,617 - Step 42 norm(X - TN_G_Ours): 4109.125941121785, norm2(E): 77826.11753270403
2024-12-17 20:14:58,957 - Step 43 norm(X - TN_G_Ours): 4111.263066260781, norm2(E): 78375.93934631348
2024-12-17 20:14:59,296 - Step 44 norm(X - TN_G_Ours): 4113.404186315757, norm2(E): 78937.52219222579
2024-12-17 20:14:59,648 - Step 45 norm(X - TN_G_Ours): 4115.5488090897425, norm2(E): 79510.83343077544
2024-12-17 20:15:00,000 - Step 46 norm(X - TN_G_Ours): 4117.697657672306, norm2(E): 80095.90932869911
2024-12-17 20:15:00,360 - Step 47 norm(X - TN_G_Ours): 4119.850968178339, norm2(E): 80692.75223261118
2024-12-17 20:15:00,719 - Step 48 norm(X - TN_G_Ours): 4122.0082484148425, norm2(E): 81301.38208428398
2024-12-17 20:15:01,091 - Step 49 norm(X - TN_G_Ours): 4124.169977098422, norm2(E): 81921.76681244746
2024-12-17 20:15:01,473 - Step 50 norm(X - TN_G_Ours): 4126.335904891894, norm2(E): 82553.96156661306
2024-12-17 20:15:01,830 - Step 51 norm(X - TN_G_Ours): 4128.506267404714, norm2(E): 83197.9342933381
2024-12-17 20:15:02,186 - Step 52 norm(X - TN_G_Ours): 4130.681057646548, norm2(E): 83853.74071747903
2024-12-17 20:15:02,543 - Step 53 norm(X - TN_G_Ours): 4132.860752553853, norm2(E): 84521.34857422207
2024-12-17 20:15:02,902 - Step 54 norm(X - TN_G_Ours): 4135.045344370482, norm2(E): 85200.79614099208
2024-12-17 20:15:03,259 - Step 55 norm(X - TN_G_Ours): 4137.234341924566, norm2(E): 85892.08627630863
2024-12-17 20:15:03,620 - Step 56 norm(X - TN_G_Ours): 4139.428221385171, norm2(E): 86595.20361162722
2024-12-17 20:15:03,920 - Step 57 norm(X - TN_G_Ours): 4141.626974994248, norm2(E): 87310.16822925303
2024-12-17 20:15:04,279 - Step 58 norm(X - TN_G_Ours): 4143.830112347754, norm2(E): 88037.00012677256
2024-12-17 20:15:04,654 - Step 59 norm(X - TN_G_Ours): 4146.039073621955, norm2(E): 88775.66461417452
2024-12-17 20:15:05,028 - Step 60 norm(X - TN_G_Ours): 4148.252403121102, norm2(E): 89526.21721576992
2024-12-17 20:15:05,400 - Step 61 norm(X - TN_G_Ours): 4150.471780412438, norm2(E): 90288.62213948742
2024-12-17 20:15:05,686 - Step 62 norm(X - TN_G_Ours): 4152.695750955035, norm2(E): 91062.87921660487
2024-12-17 20:15:06,051 - Step 63 norm(X - TN_G_Ours): 4154.925270086093, norm2(E): 91849.00612727646
2024-12-17 20:15:06,409 - Step 64 norm(X - TN_G_Ours): 4157.160569427166, norm2(E): 92646.98301588092
2024-12-17 20:15:06,789 - Step 65 norm(X - TN_G_Ours): 4159.400918401591, norm2(E): 93456.80761456583
2024-12-17 20:15:07,165 - Step 66 norm(X - TN_G_Ours): 4161.647029722728, norm2(E): 94278.49559346214
2024-12-17 20:15:07,548 - Step 67 norm(X - TN_G_Ours): 4163.898413746426, norm2(E): 95112.02445387933
2024-12-17 20:15:07,884 - Step 68 norm(X - TN_G_Ours): 4166.156262071791, norm2(E): 95957.42718667164
2024-12-17 20:15:08,229 - Step 69 norm(X - TN_G_Ours): 4168.419364699286, norm2(E): 96814.66054167692
2024-12-17 20:15:08,502 - Step 70 norm(X - TN_G_Ours): 4170.688432381397, norm2(E): 97683.71775150299
2024-12-17 20:15:08,829 - Step 71 norm(X - TN_G_Ours): 4172.964413938849, norm2(E): 98564.62932678405
2024-12-17 20:15:09,160 - Step 72 norm(X - TN_G_Ours): 4175.2461005310815, norm2(E): 99457.36763253901
2024-12-17 20:15:09,468 - Step 73 norm(X - TN_G_Ours): 4177.5337221858545, norm2(E): 10000001562.500061
2024-12-17 20:15:09,779 - Step 74 norm(X - TN_G_Ours): 44494.18335018635, norm2(E): 9999998437.500061
2024-12-17 20:15:10,101 - Step 75 norm(X - TN_G_Ours): 44497.436870004094, norm2(E): 9999998437.500061
2024-12-17 20:15:10,432 - Step 76 norm(X - TN_G_Ours): 44502.0391442909, norm2(E): 10000000000.0
2024-12-17 20:15:10,797 - Step 77 norm(X - TN_G_Ours): 44507.562683211494, norm2(E): 10000000000.0
