2024-12-17 20:27:42,233 - Optimization parameters:
2024-12-17 20:27:42,233 - epsilon (Frobenius norm constraint): 10000.0
2024-12-17 20:27:42,233 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-17 20:27:42,233 - lr (Learning rate): 0.01
2024-12-17 20:27:42,233 - outer_num_steps (Number of outer optimization steps): 100
2024-12-17 20:27:42,233 - inner_num_steps (Number of inner optimization steps): 100
2024-12-17 20:27:42,233 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-17 20:27:42,233 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-17 20:27:44,656 - Step 0 norm(X - TN_G_Ours): 6339.707564233543, norm2(E): 100000000.0
2024-12-17 20:27:45,039 - Step 1 norm(X - TN_G_Ours): 6341.91422206261, norm2(E): 100000000.0
2024-12-17 20:27:45,410 - Step 2 norm(X - TN_G_Ours): 6344.124841142394, norm2(E): 100000000.0
2024-12-17 20:27:45,801 - Step 3 norm(X - TN_G_Ours): 6346.338156764104, norm2(E): 100000000.0
2024-12-17 20:27:46,181 - Step 4 norm(X - TN_G_Ours): 6348.554166107429, norm2(E): 100000000.0
2024-12-17 20:27:46,562 - Step 5 norm(X - TN_G_Ours): 6350.773811119398, norm2(E): 100000000.0
2024-12-17 20:27:46,952 - Step 6 norm(X - TN_G_Ours): 6352.996458365139, norm2(E): 100000000.0
2024-12-17 20:27:47,340 - Step 7 norm(X - TN_G_Ours): 6355.223048800097, norm2(E): 100000000.0
2024-12-17 20:27:47,718 - Step 8 norm(X - TN_G_Ours): 6357.453263689793, norm2(E): 100000000.0
2024-12-17 20:27:48,092 - Step 9 norm(X - TN_G_Ours): 6359.687413702029, norm2(E): 100000000.0
2024-12-17 20:27:48,476 - Step 10 norm(X - TN_G_Ours): 6361.924551580284, norm2(E): 100000000.0
2024-12-17 20:27:48,851 - Step 11 norm(X - TN_G_Ours): 6364.166245471593, norm2(E): 100000000.0
2024-12-17 20:27:49,242 - Step 12 norm(X - TN_G_Ours): 6366.412176414593, norm2(E): 100000000.0
2024-12-17 20:27:49,625 - Step 13 norm(X - TN_G_Ours): 6368.662339926651, norm2(E): 100000019.53125095
2024-12-17 20:27:49,971 - Step 14 norm(X - TN_G_Ours): 6370.91704544958, norm2(E): 100000000.0
2024-12-17 20:27:50,367 - Step 15 norm(X - TN_G_Ours): 6373.175974347484, norm2(E): 100000000.0
2024-12-17 20:27:50,767 - Step 16 norm(X - TN_G_Ours): 6375.43974953885, norm2(E): 100000000.0
2024-12-17 20:27:51,185 - Step 17 norm(X - TN_G_Ours): 6377.708052270816, norm2(E): 100000000.0
2024-12-17 20:27:51,591 - Step 18 norm(X - TN_G_Ours): 6379.981504675386, norm2(E): 100000019.53125095
2024-12-17 20:27:51,998 - Step 19 norm(X - TN_G_Ours): 6382.2613547237315, norm2(E): 100000000.0
2024-12-17 20:27:52,419 - Step 20 norm(X - TN_G_Ours): 6384.544776254608, norm2(E): 100000019.53125095
2024-12-17 20:27:52,610 - Step 21 norm(X - TN_G_Ours): 6386.83333115872, norm2(E): 100000019.53125095
2024-12-17 20:27:52,973 - Step 22 norm(X - TN_G_Ours): 6389.128892110411, norm2(E): 100000000.0
2024-12-17 20:27:53,339 - Step 23 norm(X - TN_G_Ours): 6391.429261127749, norm2(E): 100000019.53125095
2024-12-17 20:27:53,634 - Step 24 norm(X - TN_G_Ours): 6393.735684245948, norm2(E): 100000000.0
2024-12-17 20:27:53,983 - Step 25 norm(X - TN_G_Ours): 6396.047529529467, norm2(E): 100000000.0
2024-12-17 20:27:54,318 - Step 26 norm(X - TN_G_Ours): 6398.365728840451, norm2(E): 100000000.0
2024-12-17 20:27:54,673 - Step 27 norm(X - TN_G_Ours): 6400.689025409686, norm2(E): 100000019.53125095
2024-12-17 20:27:55,007 - Step 28 norm(X - TN_G_Ours): 6403.019600157413, norm2(E): 100000000.0
2024-12-17 20:27:55,361 - Step 29 norm(X - TN_G_Ours): 6405.356196184565, norm2(E): 100000000.0
2024-12-17 20:27:55,710 - Step 30 norm(X - TN_G_Ours): 6407.698806904083, norm2(E): 100000000.0
2024-12-17 20:27:56,096 - Step 31 norm(X - TN_G_Ours): 6410.047737731756, norm2(E): 100000000.0
2024-12-17 20:27:56,487 - Step 32 norm(X - TN_G_Ours): 6412.403605513302, norm2(E): 100000000.0
2024-12-17 20:27:56,875 - Step 33 norm(X - TN_G_Ours): 6414.765467263787, norm2(E): 100000000.0
2024-12-17 20:27:57,286 - Step 34 norm(X - TN_G_Ours): 6417.13425136174, norm2(E): 100000000.0
2024-12-17 20:27:57,661 - Step 35 norm(X - TN_G_Ours): 6419.509015493319, norm2(E): 100000000.0
2024-12-17 20:27:58,051 - Step 36 norm(X - TN_G_Ours): 6421.8906873287715, norm2(E): 100000019.53125095
2024-12-17 20:27:58,446 - Step 37 norm(X - TN_G_Ours): 6424.278947866445, norm2(E): 100000000.0
2024-12-17 20:27:58,848 - Step 38 norm(X - TN_G_Ours): 6426.673478557939, norm2(E): 100000000.0
2024-12-17 20:27:59,253 - Step 39 norm(X - TN_G_Ours): 6429.074583484003, norm2(E): 100000000.0
2024-12-17 20:27:59,640 - Step 40 norm(X - TN_G_Ours): 6431.482255281437, norm2(E): 100000000.0
2024-12-17 20:27:59,973 - Step 41 norm(X - TN_G_Ours): 6433.896797431554, norm2(E): 100000000.0
2024-12-17 20:28:00,372 - Step 42 norm(X - TN_G_Ours): 6436.316337782039, norm2(E): 100000000.0
2024-12-17 20:28:00,689 - Step 43 norm(X - TN_G_Ours): 6438.742423796746, norm2(E): 100000000.0
2024-12-17 20:28:01,076 - Step 44 norm(X - TN_G_Ours): 6441.175048079349, norm2(E): 100000000.0
2024-12-17 20:28:01,472 - Step 45 norm(X - TN_G_Ours): 6443.613892839949, norm2(E): 100000000.0
2024-12-17 20:28:01,866 - Step 46 norm(X - TN_G_Ours): 6446.057709949547, norm2(E): 100000000.0
2024-12-17 20:28:02,264 - Step 47 norm(X - TN_G_Ours): 6448.507424202906, norm2(E): 100000000.0
2024-12-17 20:28:02,659 - Step 48 norm(X - TN_G_Ours): 6450.962098788056, norm2(E): 100000000.0
2024-12-17 20:28:03,057 - Step 49 norm(X - TN_G_Ours): 6453.421728044743, norm2(E): 100000000.0
2024-12-17 20:28:03,466 - Step 50 norm(X - TN_G_Ours): 6455.886616104716, norm2(E): 100000000.0
2024-12-17 20:28:03,860 - Step 51 norm(X - TN_G_Ours): 6458.356137594148, norm2(E): 100000000.0
2024-12-17 20:28:04,259 - Step 52 norm(X - TN_G_Ours): 6460.829668084432, norm2(E): 100000000.0
2024-12-17 20:28:04,662 - Step 53 norm(X - TN_G_Ours): 6463.306274655411, norm2(E): 100000000.0
2024-12-17 20:28:05,073 - Step 54 norm(X - TN_G_Ours): 6465.787191054156, norm2(E): 100000000.0
2024-12-17 20:28:05,454 - Step 55 norm(X - TN_G_Ours): 6468.2711755151395, norm2(E): 100000000.0
2024-12-17 20:28:05,850 - Step 56 norm(X - TN_G_Ours): 6470.758842670618, norm2(E): 100000000.0
2024-12-17 20:28:06,267 - Step 57 norm(X - TN_G_Ours): 6473.248025527834, norm2(E): 100000000.0
2024-12-17 20:28:06,619 - Step 58 norm(X - TN_G_Ours): 6475.739957719117, norm2(E): 100000000.0
2024-12-17 20:28:06,928 - Step 59 norm(X - TN_G_Ours): 6478.233401167327, norm2(E): 99999980.46875095
2024-12-17 20:28:07,273 - Step 60 norm(X - TN_G_Ours): 6480.728045520812, norm2(E): 100000000.0
2024-12-17 20:28:07,516 - Step 61 norm(X - TN_G_Ours): 6483.224197881792, norm2(E): 99999980.46875095
2024-12-17 20:28:07,852 - Step 62 norm(X - TN_G_Ours): 6485.720314660508, norm2(E): 100000000.0
2024-12-17 20:28:08,187 - Step 63 norm(X - TN_G_Ours): 6488.217320651336, norm2(E): 100000000.0
2024-12-17 20:28:08,534 - Step 64 norm(X - TN_G_Ours): 6490.713674165577, norm2(E): 99999980.46875095
2024-12-17 20:28:08,879 - Step 65 norm(X - TN_G_Ours): 6493.209683969862, norm2(E): 100000000.0
2024-12-17 20:28:09,228 - Step 66 norm(X - TN_G_Ours): 6495.704734668902, norm2(E): 100000000.0
2024-12-17 20:28:09,604 - Step 67 norm(X - TN_G_Ours): 6498.198827367473, norm2(E): 100000000.0
2024-12-17 20:28:09,985 - Step 68 norm(X - TN_G_Ours): 6500.69073252989, norm2(E): 100000000.0
2024-12-17 20:28:10,389 - Step 69 norm(X - TN_G_Ours): 6503.181067754457, norm2(E): 99999980.46875095
2024-12-17 20:28:10,783 - Step 70 norm(X - TN_G_Ours): 6505.668912571558, norm2(E): 100000000.0
2024-12-17 20:28:11,162 - Step 71 norm(X - TN_G_Ours): 6508.15457714397, norm2(E): 100000000.0
2024-12-17 20:28:11,547 - Step 72 norm(X - TN_G_Ours): 6510.638063968846, norm2(E): 99999980.46875095
2024-12-17 20:28:11,934 - Step 73 norm(X - TN_G_Ours): 6513.11784017455, norm2(E): 100000000.0
2024-12-17 20:28:12,339 - Step 74 norm(X - TN_G_Ours): 6515.594216953662, norm2(E): 100000000.0
2024-12-17 20:28:12,721 - Step 75 norm(X - TN_G_Ours): 6518.067505020181, norm2(E): 100000000.0
2024-12-17 20:28:13,104 - Step 76 norm(X - TN_G_Ours): 6520.538628058268, norm2(E): 100000000.0
2024-12-17 20:28:13,405 - Step 77 norm(X - TN_G_Ours): 6523.004829064593, norm2(E): 100000000.0
2024-12-17 20:28:13,815 - Step 78 norm(X - TN_G_Ours): 6525.467339585725, norm2(E): 100000000.0
2024-12-17 20:28:14,210 - Step 79 norm(X - TN_G_Ours): 6527.925244670009, norm2(E): 100000000.0
2024-12-17 20:28:14,618 - Step 80 norm(X - TN_G_Ours): 6530.380387083129, norm2(E): 100000000.0
2024-12-17 20:28:15,007 - Step 81 norm(X - TN_G_Ours): 6532.831545356117, norm2(E): 100000000.0
2024-12-17 20:28:15,391 - Step 82 norm(X - TN_G_Ours): 6535.278723971916, norm2(E): 100000000.0
2024-12-17 20:28:15,769 - Step 83 norm(X - TN_G_Ours): 6537.720703731538, norm2(E): 100000000.0
